,Unnamed: 0,Uber Type,Origin Region,Destination Region,Origin Latitude,Origin Longitude,Destination Latitude,Destination Longitude,Journey Distance(m),Departure Date,Departure Time,Travel Time(s),Arrival Time,Fare$
0,ID3142983160,1,2,4,-37.813522999999996,144.941156,-37.8079093,144.995935,5243.0,2018-07-10,19:01:20,1267.4400000000007,19:22:27,14.05
1,ID1362985481,0,1,3,-37.8222715,144.9516282,-37.8202504,144.97080680000002,1934.0,2018-06-06,13:35:15,444.12,13:42:39,8.82
2,ID1635633007,0,8,9,-37.807202000000004,145.0266373,-38.1109156,144.65417250000002,49777.0,2018-04-23,22:42:59,12069.78,2:04:08,35.26
3,ID1970704789,0,4,5,-37.8031341,145.003551,-37.8068662,144.93878059999997,6876.0,2018-07-25,13:49:18,1790.6999999999996,14:19:08,10.09
4,ID3851318146,1,1,2,-37.8120939,144.9738315,-37.8197324,144.94531640000002,2942.4,2018-03-18,11:51:12,743.2200000000003,12:03:35,10.05
5,ID5743543221,2,1,8,-37.818699200000005,144.95547140000002,-37.8158343,145.04645,8571.6,2018-06-09,19:32:17,2489.400000000001,20:13:46,209.06
6,ID3717281895,1,9,2,-38.1109156,144.65417250000002,-37.8227442,144.9357663,43258.0,2018-06-20,16:21:33,10385.399999999998,19:14:38,53.65
7,ID1225877862,0,7,9,-37.8618349,144.90571599999998,-38.1109156,144.65417250000002,50797.0,2018-03-12,08:56:29,13173.36,12:36:02,26.53
8,ID1304047747,0,6,2,-37.7907967,144.985865,-37.8106031,144.9360887,6228.0,2018-03-27,15:52:44,1726.9799999999993,16:21:30,8.69
9,ID3285097773,1,4,7,-37.8038025,145.00569819999998,-37.8618349,144.90571599999998,12055.0,2018-06-23,02:07:57,3850.740000000001,3:12:07,33.09
10,ID5678317180,2,4,3,-37.803735700000004,145.0056821,-37.821979999999996,145.00276369999997,3095.0,2018-02-16,03:06:11,750.8400000000003,3:18:41,84.44
11,ID3905194509,1,8,1,-37.807202000000004,145.0266373,-37.8114227,144.953507,7120.1,2018-04-08,01:08:41,1786.8,1:38:27,24.98
