,ID,Uber Type,Origin Region,Destination Region,Origin Latitude,Origin Longitude,Destination Latitude,Destination Longitude,Journey Distance(m),Departure Date,Departure Time,Travel Time(s),Arrival Time,Fare$
0,ID1395348332,0,7,6,-37.8618349,144.90571599999996,-37.7738026,144.9836466,16033.0,2018-01-21,07:09:11,5320.6799999999985,8:37:51,16.31
1,ID5655514789,2,7,1,-37.8618349,144.90571599999996,-37.808219,144.9603764,8744.0,2018-03-11,06:38:35,2964.6599999999994,7:27:59,265.36
2,ID3129462767,1,5,2,-37.8042012,144.9279658,-37.81499390000001,144.93280259999997,2680.0,2018-01-20,09:58:18,701.0400000000003,10:09:59,12.21
3,ID3447826115,1,5,7,-37.8045023,144.92054819999996,-37.8618349,144.90571599999996,11985.0,2018-03-28,06:10:58,3810.5400000000013,7:14:28,21.81
4,ID3732947097,1,2,3,-37.8232412,144.93788759999995,-37.8160042,144.9996541,6043.0,2018-06-21,14:43:14,1636.74,15:10:30,16.87
5,ID1602887604,0,3,6,-37.8250967,144.99174580000005,-37.773845,144.9836895,6910.0,2018-04-19,15:53:28,1550.9399999999994,16:19:18,10.63
6,ID1464726748,0,8,3,-37.807202,145.0266373,-37.8176529,144.9694112,6523.0,2018-02-09,03:08:28,1621.6200000000006,3:35:29,12.68
7,ID1122645774,0,7,6,-37.8618349,144.90571599999996,-37.7908183,144.9857929,11712.0,2018-07-10,13:24:00,3700.9799999999987,14:25:40,12.42
8,ID1530003307,0,6,4,-37.7907967,144.985865,-37.807418,144.99891519999997,2943.0,2018-04-20,20:59:12,857.4000000000003,21:13:29,9.73
9,ID3850327399,1,1,2,-37.81522070000001,144.9522229,-37.82523610000001,144.9466017,1556.0,2018-05-25,22:35:23,352.08000000000015,22:41:15,8.47
10,ID1207696332,0,6,4,-37.7874421,144.9804091,-37.812562,145.00492450000004,4853.0,2018-01-11,18:52:38,1252.1399999999996,19:13:30,5.015
11,ID1202400063,0,4,2,-37.81489379999999,145.01428049999996,-37.826402,144.951862,6583.0,2018-03-19,17:19:15,1685.1600000000005,17:47:20,9.97
12,ID5663899035,2,6,5,-37.7738026,144.9836466,-37.8029953,144.92810690000005,10151.0,2018-04-24,16:56:59,3124.0799999999986,17:49:03,277.88
13,ID1568771559,0,5,4,-37.8002124,144.9258168,-37.81101029999999,145.0159459,8940.0,2018-03-03,11:22:03,2175.300000000001,11:58:18,12.57
14,ID1495870806,0,6,7,-37.7874325,144.9803767,-37.8618349,144.90571599999996,11633.0,2018-01-17,03:33:50,3663.780000000001,4:34:53,8.16
15,ID1619340865,0,8,4,-37.807202,145.0266373,-37.80011810000001,144.9923141,3432.0,2018-04-08,18:56:55,926.34,19:12:21,15.3
16,ID3976152916,1,5,7,-37.7994083,144.9365256,-37.8618349,144.90571599999996,11181.0,2018-03-25,21:03:08,3692.820000000001,22:04:40,36.25
17,ID3615805982,1,1,7,-37.8070287,144.94532769999995,-37.8618349,144.90571599999996,10076.0,2018-01-25,19:47:50,3361.92,20:43:51,12.205
18,ID1409026249,0,8,9,-37.807202,145.0266373,-38.1109156,144.65417250000004,49777.0,2018-06-01,21:43:49,12069.78,1:04:58,27.66
19,ID1997124986,0,1,4,-37.8006286,144.95480469999995,-37.80739420000001,144.9986816,4376.0,2018-03-09,11:45:38,1104.4800000000012,12:04:02,7.33
20,ID1439156297,0,2,1,-37.824859,144.9473675,-37.819279,144.9615442,1620.0,2018-06-28,02:05:06,410.64,2:11:56,11.54
21,ID3509652195,1,7,1,-37.8618349,144.90571599999996,-37.8087203,144.97313490000005,9157.0,2018-03-25,14:49:12,3053.699999999999,15:40:05,13.775
22,ID1855012442,0,4,9,-37.8023485,145.004627,-38.1109156,144.65417250000004,47893.0,2018-01-27,13:06:46,11597.22,16:20:03,27.23
23,ID3142938046,1,8,4,-37.807202,145.0266373,-37.8158459,145.01541830000005,3188.0,2018-04-10,09:47:03,786.84,10:00:09,3.465
24,ID1640835336,0,9,3,-38.1109156,144.65417250000004,-37.82343570000001,144.97020669999995,44288.0,2018-02-23,05:38:54,10763.459999999995,8:38:17,26.06
25,ID3674181939,1,5,3,-37.7992528,144.9364904,-37.8121458,144.9739079,4066.0,2018-01-11,06:28:57,1097.7600000000007,6:47:14,5.615
26,ID3787407053,1,1,8,-37.8095828,144.95564960000004,-37.8158343,145.04645,8190.0,2018-07-13,22:49:16,2358.78,23:28:34,12.335
27,ID3349275597,1,6,2,-37.7907967,144.985865,-37.8149888,144.92745530000005,8023.0,2018-03-24,10:47:32,2171.9999999999986,11:23:44,19.2
28,ID3225555318,1,1,4,-37.8198468,144.96145280000005,-37.81074,145.0139863,5581.0,2018-03-03,12:20:02,1394.7,12:43:16,19.91
29,ID5296535013,2,4,8,-37.80502620000001,144.9960685,-37.8158343,145.04645,4972.0,2018-06-05,08:43:15,1565.22,9:09:20,141.52
30,ID1481233008,0,8,2,-37.8158343,145.04645,-37.82443720000001,144.9425415,9928.0,2018-02-19,18:28:16,2842.4999999999986,19:15:38,11.94
31,ID1758413497,0,2,7,-37.8164523,144.949172,-37.8618349,144.90571599999996,9069.0,2018-02-15,06:31:43,3080.52,7:23:03,7.97
32,ID3475756465,1,6,7,-37.7874325,144.9803767,-37.8618349,144.90571599999996,11633.0,2018-05-10,12:52:58,3663.780000000001,13:54:01,27.11
33,ID1909096865,0,8,7,-37.807202,145.0266373,-37.8618349,144.90571599999996,13986.0,2018-02-22,07:59:01,4298.280000000002,9:10:39,10.34
34,ID1303791215,0,6,3,-37.773845,144.9836895,-37.8210658,144.9770455,5944.0,2018-06-15,13:51:39,1276.2600000000011,14:12:55,9.18
35,ID3487340309,1,2,7,-37.8232412,144.93788759999995,-37.8618349,144.90571599999996,9732.0,2018-05-07,10:17:51,3261.66,11:12:12,18.86
36,ID1422371413,0,4,9,-37.8039614,145.0043169,-38.1109156,144.65417250000004,47703.0,2018-03-10,20:40:22,11555.94,23:52:57,27.35
37,ID3860731661,1,3,9,-37.81788,145.0081585,-38.1109156,144.65417250000004,47632.0,2018-04-10,17:56:37,11530.38,21:08:47,57.43
38,ID3304637037,1,2,7,-37.8149579,144.9275311,-37.8618349,144.90571599999996,11804.0,2018-02-18,22:01:29,3797.700000000001,23:04:46,36.72
39,ID3845562392,1,6,7,-37.7738026,144.9836466,-37.8618349,144.90571599999996,16033.0,2018-04-28,01:31:38,5323.559999999999,3:00:21,41.9
40,ID3889431004,1,9,5,-38.1109156,144.65417250000004,-37.8086589,144.9259279,43711.0,2018-01-17,15:13:50,10530.659999999994,18:09:20,52.77
42,ID3241545548,1,2,1,-37.8205844,144.94844609999996,-37.8029602,144.95803480000004,2744.0,2018-02-10,06:54:43,687.5400000000003,7:06:10,13.67
43,ID5920086489,2,3,1,-37.8178766,145.0085414,-37.8143388,144.9431597,6554.0,2018-05-25,16:47:05,1628.9399999999994,17:14:13,155.12
45,ID1890095652,0,2,6,-37.8149836,144.9364378,-37.7874421,144.9804091,7238.0,2018-07-04,13:00:29,1881.4800000000007,13:31:50,5.235
46,ID3666974090,1,2,7,-37.8154797,144.9327496,-37.8618349,144.90571599999996,11051.0,2018-01-02,06:56:51,3634.32,7:57:25,20.13
47,ID1603407491,0,3,4,-37.81948120000001,145.00771880000005,-37.8142662,145.0110929,1084.0,2018-06-16,16:48:09,285.36,16:52:54,13.33
48,ID3123251504,1,1,3,-37.8104487,144.94187309999995,-37.8255236,144.9886093,6117.0,2018-04-07,18:30:04,1526.0400000000006,18:55:30,20.61
49,ID5304871587,2,3,6,-37.8195384,145.00887959999997,-37.7907967,144.985865,5082.0,2018-07-12,20:53:12,1407.06,21:16:39,136.81
51,ID3180084359,1,8,3,-37.807202,145.0266373,-37.8241145,144.98670019999997,5347.0,2018-02-18,09:55:48,1292.2199999999996,10:17:20,14.12
52,ID5606572846,2,8,5,-37.8158343,145.04645,-37.812655,144.92524369999995,11257.0,2018-05-23,17:34:27,3172.199999999997,18:27:19,282.57
53,ID3233258095,1,9,5,-38.1109156,144.65417250000004,-37.8102615,144.93406059999995,43026.0,2018-02-17,22:25:08,10313.099999999997,1:17:01,61.83
54,ID1216908134,0,9,2,-38.1109156,144.65417250000004,-37.8225159,144.9477823,41968.0,2018-02-20,21:33:07,10079.519999999997,0:21:06,27.31
55,ID3447330379,1,2,3,-37.8140304,144.9396809,-37.81436179999999,144.9952645,5582.0,2018-07-14,18:30:08,1338.1199999999994,18:52:26,20.6
56,ID1256451314,0,5,9,-37.8067428,144.9322051,-38.1109156,144.65417250000004,43569.0,2018-01-09,23:30:09,10437.9,2:24:06,25.25
57,ID3567095812,1,3,5,-37.8223333,144.97554069999995,-37.804485,144.9266743,5405.0,2018-07-01,00:34:55,1426.2599999999998,0:58:41,13.63
