,ID,Address,Suburb,Price,Type,Date,Rooms,Bathroom,Car,Landsize,Age,Lattitude,Longtitude,train_station_id,distance_to_train_stat,travel_min_to_CBD,over_priced?,crime_A_average,crime_B_average,crime_C_average
0,ID648060837,8/131 Grange Rd,GLEN HUNTLY,260000.0,u,13/05/2017,1,1.0,1.0,1162.0,54.0,-37.8911,145.0451,19942,295.80905601163715,2320.0,0,66.7,196.26666666666668,71.9
1,ID604692611,76 Newry St,FITZROY NORTH,1116000.0,h,3/09/2016,2,1.0,0.0,152.0,109.0,-37.791,144.9809,19974,1303.3842561864449,3810.0,0,240.45833333333334,1683.625,169.1818181818182
2,ID803803522,22 Kyarra Rd,GLEN IRIS,1857000.0,h,25/02/2017,4,2.0,3.0,548.0,89.0,-37.8536,145.0547,19912,270.0408731070443,3400.0,0,255.95833333333334,1618.4117647058824,222.7
3,ID344558125,5/698 Inkerman Rd,CAULFIELD NORTH,523000.0,u,7/11/2016,2,1.0,1.0,0.0,59.0,-37.8694,145.0246,19944,541.1509355125065,1883.076923076923,0,200.95652173913044,1136.6875,143.3
4,ID809539804,5/25 Clarence St,MALVERN EAST,373000.0,u,24/09/2016,1,1.0,1.0,0.0,54.0,-37.8728,145.0417,22248,523.7163303898185,2420.0,0,87.14285714285714,348.73333333333335,76.0
5,ID841244537,8/67 High St,PRAHRAN,700000.0,u,12/11/2016,2,1.0,1.0,0.0,131.0,-37.851,144.988,19958,232.21707737420843,1876.0,1,85.95652173913044,1043.8666666666666,112.77777777777777
6,ID130109599,58 Eley Rd,BURWOOD,1535000.0,h,26/08/2017,4,3.0,2.0,1004.0,69.0,-37.84533,145.12764,20042,2957.161809682668,3030.0,0,89.21739130434783,317.9375,53.666666666666664
7,ID998136226,241 Buckley St,ABERFELDIE,1380000.0,h,12/08/2017,4,2.0,2.0,766.0,139.0,-37.75595,144.90551000000005,22253,940.6336994894293,1110.0,0,111.5,355.93333333333334,60.333333333333336
8,ID308508892,25 Canopus Dr,DONCASTER EAST,1504000.0,h,17/06/2017,4,2.0,2.0,661.0,11.0,-37.77956,145.16645,19899,4628.749688661872,3707.1428571428573,0,415.875,2214.3333333333335,356.44444444444446
9,ID622083762,335 Chesterville Rd,BENTLEIGH EAST,1040000.0,h,27/11/2016,4,2.0,2.0,643.0,69.0,-37.9295,145.063,19937,2368.23584922798,2713.3333333333335,0,120.73913043478261,881.5,102.88888888888889
10,ID999088508,81 Dalpura Cct,FRANKSTON,491000.0,h,27/05/2017,3,1.0,2.0,602.0,18.0,-38.13759,145.17054,19836,3154.9038066806997,4600.0,0,67.47826086956522,594.6,78.72727272727273
11,ID858886294,40 Federation La,ABBOTSFORD,850000.0,h,4/03/2017,3,2.0,1.0,94.0,119.0,-37.7969,144.9969,19975,330.99276527945847,4200.0,0,151.83333333333334,1120.7333333333333,125.11111111111111
12,ID725041396,1/36 The Avenue,BALACLAVA,585000.0,u,15/07/2017,2,1.0,1.0,598.0,44.0,-37.87149,144.99746000000005,19956,412.3469475035728,3656.470588235294,0,209.08333333333334,1886.9375,215.44444444444446
13,ID437709482,2/585 Burwood Hwy,VERMONT SOUTH,750000.0,u,3/06/2017,3,2.0,1.0,302.0,3.0,-37.85732,145.19195,19873,3605.347763676137,2413.846153846154,0,46.94444444444444,104.86666666666666,22.6
14,ID902722542,3/4 Lemon Rd,BALWYN NORTH,682000.0,u,24/06/2017,2,1.0,1.0,140.0,49.0,-37.79334,145.10025,19896,2940.780015019032,1452.0,0,125.08695652173913,839.375,108.0
15,ID715339037,58 Kernot St,SOUTH KINGSVILLE,915000.0,t,16/04/2016,4,3.0,1.0,662.0,3.0,-37.8307,144.8725,19995,1181.1053386841456,900.0,0,121.0909090909091,439.2,60.44444444444444
16,ID159473726,2/33 Oconnor St,RESERVOIR,521000.0,t,3/06/2017,2,1.0,1.0,0.0,10.0,-37.7106,145.00177,20009,745.5946565567874,3282.0,0,126.42857142857143,380.2,68.3
17,ID812534332,100 South St,HADFIELD,330000.0,h,22/05/2016,2,1.0,1.0,249.0,49.0,-37.714,144.939,20033,1600.9159863032228,2004.0,0,210.45833333333334,1676.0,169.77777777777777
18,ID184419211,217 Sussex St,PASCOE VALE,599000.0,h,30/07/2016,3,1.0,1.0,534.0,69.0,-37.7215,144.951,19963,910.3070199145059,4971.428571428572,0,85.95652173913044,1043.8666666666666,112.77777777777777
19,ID436522005,33 Reserve Rd,BEAUMARIS,1660000.0,h,3/06/2017,6,3.0,4.0,730.0,59.0,-37.98825,145.03226999999995,19865,2972.4035119970395,3677.1428571428573,0,12.642857142857142,26.571428571428573,2.6666666666666665
